run_name,backbone,seed,query_learning_mode,query_objective,adaptation_target,trainable_module,trainable_parameter_count,retrieval_negative_count,retrieval_loss_type,retrieval_margin_value,adapt_learning_rate,adapt_steps,target_eval_repeats,target_episode_repeats,target_episode_policy,target_support_weighting,target_split_policy,target_support_bank_size,target_support_negative_pool,target_support_negative_sampler,target_support_selection_policy,support_updates,support_examples_touched,zero_shot_task_score,best_adapt_task_score,task_gain,task_metric_name,zero_shot_task_proxy_score,best_adapt_task_proxy_score,proxy_gain,task_proxy_name,best_adapt_task_margin,zero_shot_query_loss,best_adapt_query_loss,best_adapt_shot,best_adapt_step,adaptation_effective,run_dir
qwen25-seed-55201,Qwen2.5-1.5B-Instruct,55201,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.7777777777777778,0.7777777777777778,0.0,accuracy,0.5006940033700731,0.5007251302401224,3.1126870049358324e-05,gold_choice_probability,0.002459761169221667,1.2085811297098796,1.2087713877360027,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen25-seed-55201
qwen25-seed-55202,Qwen2.5-1.5B-Instruct,55202,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.2222222222222222,0.2222222222222222,0.0,accuracy,0.474781506591373,0.4748263359069824,4.482931560939596e-05,gold_choice_probability,-0.10118472762405872,1.2528523339165583,1.2527432839075725,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen25-seed-55202
qwen25-seed-55203,Qwen2.5-1.5B-Instruct,55203,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.3333333333333333,0.3333333333333333,0.0,accuracy,0.49162134859297013,0.4917234712176853,0.00010212262471515077,gold_choice_probability,-0.033165292607413396,1.2098804314931233,1.209854695532057,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen25-seed-55203
qwen25-seed-55204,Qwen2.5-1.5B-Instruct,55204,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.5555555555555556,0.5555555555555556,0.0,accuracy,0.49831166201167637,0.49831166201167637,0.0,gold_choice_probability,-0.006744477483961318,1.2165612909528944,1.2165612909528944,3,0,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen25-seed-55204
qwen25-seed-55205,Qwen2.5-1.5B-Instruct,55205,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.7777777777777778,0.7777777777777778,0.0,accuracy,0.5173304478327433,0.5173828105131785,5.2362680435180664e-05,gold_choice_probability,0.06967553392880493,1.2104574574364557,1.2104696962568495,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen25-seed-55205
qwen3-seed-55301,Qwen3-8B,55301,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.8888888888888888,0.8888888888888888,0.0,accuracy,0.526007678773668,0.526007678773668,0.0,gold_choice_probability,0.10427786989344491,1.2447425656848483,1.2447425656848483,3,0,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen3-seed-55301
qwen3-seed-55302,Qwen3-8B,55302,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.4444444444444444,0.4444444444444444,0.0,accuracy,0.48297285040219623,0.48297285040219623,0.0,gold_choice_probability,-0.06844423576775524,1.2646358278062608,1.2646358278062608,3,0,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen3-seed-55302
qwen3-seed-55303,Qwen3-8B,55303,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.3333333333333333,0.3333333333333333,0.0,accuracy,0.4970652394824558,0.4970652394824558,0.0,gold_choice_probability,-0.011808471392012304,1.207029726770189,1.207029726770189,3,0,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen3-seed-55303
qwen3-seed-55304,Qwen3-8B,55304,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.5555555555555556,0.5555555555555556,0.0,accuracy,0.502154270807902,0.502154270807902,0.0,gold_choice_probability,0.00856288460393747,1.25393627749549,1.25393627749549,3,0,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen3-seed-55304
qwen3-seed-55305,Qwen3-8B,55305,meta_trained,continuation_retrieval,q_only,reader.queries,256,7,cross_entropy_plus_margin,0.1,0.2,3,3,3,aggregate_support,uniform,random,auto,source_plus_support_bank,hard_by_current_model,plain,3,27,0.5555555555555556,0.5555555555555556,0.0,accuracy,0.4938316345214844,0.49387970235612655,4.806783464217368e-05,gold_choice_probability,-0.024515846744179726,1.2139010296927557,1.214002463552687,3,3,True,/root/autodl-tmp/memtotal-stage-c-qonly-seed-sweep-v5-margin-canonical/qwen3-seed-55305
