F_choice_scores,F_correct,F_predicted_label,G_choice_scores,G_correct,G_predicted_label,b_plus_content_choice_scores,b_plus_content_correct,b_plus_content_predicted_label,base_choice_scores,base_correct,base_predicted_label,benchmark_id,best_of_b_plus_content_correct,best_of_b_plus_content_source,best_of_bf_correct,best_of_bf_source,branch_effect_scores,candidate_total_scores,content_alignment_sign,content_effect_scores,content_push_alpha1,context_preview,delta_branch,delta_candidate_total,delta_content,delta_shared,example_id,gold_text,margin_A,margin_B,margin_B_plus_content,margin_F,margin_G,needed_fix,oracle_alpha_content,oracle_alpha_content_choice_scores,oracle_alpha_content_correct,oracle_alpha_content_predicted_label,oracle_alpha_content_selection_reason,screening_bucket,shared_choice_scores,shared_correct,shared_effect_bucket,shared_effect_scores,shared_margin_band,shared_predicted_label,weighted_content_alignment
"[-10.205418586730957, -10.961405754089355]",True,A,"[-10.205410957336426, -10.961398124694824]",True,A,"[-10.209177017211914, -10.957662582397461]",True,A,"[-10.212508201599121, -10.95853328704834]",True,A,story_cloze,True,B,True,B,"[0.0037584304809570312, -0.0037431716918945312]","[0.0037508010864257812, -0.0037508010864257812]",0,"[-7.62939453125e-06, -7.62939453125e-06]",0.0,"Cassidy always loved eating scones at the shop near his home. He decided to try baking scones at home. At first his scones came out too try. However, he kept baking new batches until they were delicious.",0.0075016021728515625,0.0075016021728515625,0.0,0.002460479736328125,01baa291-3fca-46ae-941e-d915af25831f,Cassidy became good at baking scones.,0.7460250854492188,0.7484855651855469,0.7484855651855469,0.7559871673583984,0.7559871673583984,-0.7484855651855469,0.0,"[-10.209169387817383, -10.95765495300293]",True,A,correct_min_abs,base_correct_control,"[-10.209169387817383, -10.95765495300293]",True,shared_neutral,"[0.0033388137817382812, 0.0008783340454101562]",non_negative,A,0.0
"[-25.027925491333008, -14.57392406463623]",False,B,"[-25.02792739868164, -14.573925971984863]",False,B,"[-25.02825164794922, -14.57359504699707]",False,B,"[-25.026710510253906, -14.566575050354004]",False,B,story_cloze,False,B,False,B,"[0.0003261566162109375, -0.00032901763916015625]","[0.00032806396484375, -0.00032711029052734375]",0,"[1.9073486328125e-06, 1.9073486328125e-06]",0.0,John was afraid to go to school on Monday. He had not completed his science project. John lied to his parents that he was sick. His parents knew that John was lying.,0.0006551742553710938,0.0006551742553710938,0.0,0.005478858947753906,051316ed-513e-49ec-ac89-91e86f46d128,"His parents made him go to school, and he got an F in science.",-10.460135459899902,-10.454656600952148,-10.454656600952148,-10.454001426696777,-10.454001426696777,10.454656600952148,0.0,"[-25.02825355529785, -14.573596954345703]",False,B,best_margin_when_all_wrong,improving_but_unflipped,"[-25.02825355529785, -14.573596954345703]",False,shared_neutral,"[-0.0015430450439453125, -0.007021903991699219]",far_negative,B,0.0
"[-17.583267211914062, -13.285394668579102]",False,B,"[-17.583269119262695, -13.285395622253418]",False,B,"[-17.583518981933594, -13.285140037536621]",False,B,"[-17.577056884765625, -13.285694122314453]",False,B,story_cloze,False,B,False,B,"[0.00025177001953125, -0.00025463104248046875]","[0.0002536773681640625, -0.0002536773681640625]",1,"[1.9073486328125e-06, 9.5367431640625e-07]",9.5367431640625e-07,Gina's dad was near the kitchen window outside. Her mother sprayed him through the window with the sink sprayer. Soon they were throwing cups of water at each other in the yard. Gina and her siblings joined as well.,0.0005064010620117188,0.000507354736328125,9.5367431640625e-07,-0.0070171356201171875,09be0ffe-6425-4dc5-b5dd-d634ee5d7138,The whole family was wet at the end of the day.,-4.291362762451172,-4.298379898071289,-4.298378944396973,-4.297872543334961,-4.297873497009277,4.298379898071289,4096.0,"[-17.575708389282227, -13.281234741210938]",False,B,best_margin_when_all_wrong,stubborn_wrong_story_context,"[-17.583520889282227, -13.285140991210938]",False,shared_neutral,"[-0.0064640045166015625, 0.000553131103515625]",far_negative,B,9.536743141875668e-07
"[-23.95060157775879, -13.578601837158203]",False,B,"[-23.950605392456055, -13.578605651855469]",False,B,"[-23.951656341552734, -13.577540397644043]",False,B,"[-23.966167449951172, -13.599418640136719]",False,B,story_cloze,False,B,False,B,"[0.0010547637939453125, -0.0010614395141601562]","[0.0010585784912109375, -0.0010576248168945312]",0,"[3.814697265625e-06, 3.814697265625e-06]",0.0,Paul always does his laundry. He sorts everything by color. He also sorts his socks and underwear. Somehow he always loses socks.,0.0021162033081054688,0.0021162033081054688,0.0,-0.007367134094238281,0ad3d77d-bf02-40ec-b070-f07cf29b8376,He has to go to the store on Sundays for new socks.,-10.366748809814453,-10.374115943908691,-10.374115943908691,-10.371999740600586,-10.371999740600586,10.374115943908691,0.0,"[-23.95166015625, -13.577544212341309]",False,B,best_margin_when_all_wrong,stubborn_wrong_story_context,"[-23.95166015625, -13.577544212341309]",False,shared_neutral,"[0.014507293701171875, 0.021874427795410156]",far_negative,B,0.0
"[-13.195194244384766, -13.720187187194824]",False,A,"[-13.195189476013184, -13.720182418823242]",False,A,"[-13.199847221374512, -13.715543746948242]",False,A,"[-13.20808219909668, -13.725533485412598]",False,A,story_cloze,False,B,False,B,"[0.004652976989746094, -0.004643440246582031]","[0.0046482086181640625, -0.0046482086181640625]",0,"[-4.76837158203125e-06, -4.76837158203125e-06]",0.0,"Jane was selling chocolate bars for high school band. She carried the chocolate in her backpack, but forgot to sell them. She often ate a bar after school, or during lunch. She realized the money for the bars were due, and she had eaten them!",-0.009296417236328125,-0.009296417236328125,0.0,0.0017547607421875,0b897141-236a-4329-96d4-1ff9ca054fec,Jane had to pay for the bars.,-0.517451286315918,-0.5156965255737305,-0.5156965255737305,-0.5249929428100586,-0.5249929428100586,0.5156965255737305,0.0,"[-13.19984245300293, -13.71553897857666]",False,A,best_margin_when_all_wrong,improving_but_unflipped,"[-13.19984245300293, -13.71553897857666]",False,shared_neutral,"[0.00823974609375, 0.0099945068359375]",far_negative,A,0.0
"[-26.363496780395508, -20.775976181030273]",False,B,"[-26.36349868774414, -20.775976181030273]",False,B,"[-26.36013412475586, -20.77933692932129]",False,B,"[-26.365833282470703, -20.78310203552246]",False,B,story_cloze,False,B,False,B,"[-0.0033626556396484375, 0.003360748291015625]","[-0.003360748291015625, 0.003360748291015625]",1,"[1.9073486328125e-06, 0.0]",1.9073486328125e-06,Every year we attend a poolside barbecue at my aunt's house. One year when my sister was very young she fell in the pool. As soon as my dad realized she was missing he ran for the pool. He dove in and brought my sister to the surface.,-0.0067234039306640625,-0.00672149658203125,1.9073486328125e-06,0.0019321441650390625,1055bd28-9480-4e7e-8b5c-68575b03911b,"After saving her, we were all relieved.",-5.582731246948242,-5.580799102783203,-5.58079719543457,-5.587520599365234,-5.587522506713867,5.580799102783203,4096.0,"[-26.352323532104492, -20.77933692932129]",False,B,best_margin_when_all_wrong,improving_but_unflipped,"[-26.360136032104492, -20.77933692932129]",False,shared_neutral,"[0.0056972503662109375, 0.003765106201171875]",far_negative,B,1.9073486293948019e-06
"[-47.413780212402344, -17.131717681884766]",True,B,"[-47.413780212402344, -17.131717681884766]",True,B,"[-47.413917541503906, -17.13157844543457]",True,B,"[-47.411842346191406, -17.13802146911621]",True,B,story_cloze,True,B,True,B,"[0.0001373291015625, -0.0001392364501953125]","[0.0001373291015625, -0.0001392364501953125]",0,"[0.0, 0.0]",0.0,Ross had big dreams to be a professional singer. He joined a band as lead vocalist. He took voice lessons. One day his band tried out for a talent competition.,-0.0002765655517578125,-0.0002765655517578125,0.0,0.008518218994140625,10bc6a9e-2c3f-4544-b734-bf0a8f3c2ae0,Ross and his band scored first place.,30.273820877075195,30.282339096069336,30.282339096069336,30.282062530517578,30.282062530517578,-30.282339096069336,0.0,"[-47.413917541503906, -17.13157844543457]",True,B,correct_min_abs,base_correct_control,"[-47.413917541503906, -17.13157844543457]",True,shared_neutral,"[-0.0020751953125, 0.006443023681640625]",non_negative,B,0.0
"[-47.007728576660156, -12.083481788635254]",True,B,"[-47.007728576660156, -12.08348274230957]",True,B,"[-47.007232666015625, -12.083976745605469]",True,B,"[-47.00267791748047, -12.08719253540039]",True,B,story_cloze,True,B,True,B,"[-0.00049591064453125, 0.0004949569702148438]","[-0.00049591064453125, 0.00049591064453125]",0,"[0.0, 9.5367431640625e-07]",9.5367431640625e-07,"Anna and Aidan were playing cards one night. Then Aidan suggested they play board games. Anna thought it'd be boring. She agreed anyway, and she was glad she did.",0.0009908676147460938,0.0009918212890625,9.5367431640625e-07,0.007769584655761719,1161517a-7732-4f33-b709-cacb876c4750,She realized she loved board games.,34.91548538208008,34.92325496673584,34.923255920410156,34.9242467880249,34.924245834350586,-34.92325496673584,0.0,"[-47.007232666015625, -12.083977699279785]",True,B,correct_min_abs,base_correct_control,"[-47.007232666015625, -12.083977699279785]",True,shared_neutral,"[-0.00455474853515625, 0.0032148361206054688]",non_negative,B,0.0
"[-7.001661777496338, -33.01129150390625]",True,A,"[-7.001657962799072, -33.011287689208984]",True,A,"[-7.004088401794434, -33.008872985839844]",True,A,"[-6.990118980407715, -32.998497009277344]",True,A,story_cloze,True,B,True,B,"[0.002426624298095703, -0.00241851806640625]","[0.002422809600830078, -0.002422332763671875]",0,"[-3.814697265625e-06, -3.814697265625e-06]",0.0,Henderson had dreamed of having a small coffee shop. He started saving up his money to open a shop downtown. Finally it was the day to open his new shop! Henderson had many customers on his first day.,0.004845142364501953,0.004845142364501953,0.0,-0.00359344482421875,16849c78-6b2d-4958-9dff-f069edcd8fee,Henderson's coffee shop was very successful.,26.00837802886963,26.00478458404541,26.00478458404541,26.009629726409912,26.009629726409912,-26.00478458404541,0.0,"[-7.004084587097168, -33.00886917114258]",True,A,correct_min_abs,base_correct_control,"[-7.004084587097168, -33.00886917114258]",True,shared_neutral,"[-0.013965606689453125, -0.010372161865234375]",non_negative,A,0.0
"[-15.763307571411133, -13.353341102600098]",False,B,"[-15.763310432434082, -13.353344917297363]",False,B,"[-15.759481430053711, -13.357160568237305]",False,B,"[-15.767562866210938, -13.367984771728516]",False,B,story_cloze,False,B,False,B,"[-0.003826141357421875, 0.0038194656372070312]","[-0.0038232803344726562, 0.0038232803344726562]",-1,"[2.86102294921875e-06, 3.814697265625e-06]",-9.5367431640625e-07,"Sarah was learning Algebra on her own. But after several weeks, she didn't improve much. She realized that she didn't set any goals for herself. So everyday, she set a certain goal.",-0.007645606994628906,-0.0076465606689453125,-9.5367431640625e-07,-0.0027418136596679688,16ac16d6-41a4-49f4-a3e1-ec242ce8f921,Before long Sarah began getting better at Algebra.,-2.399578094482422,-2.40231990814209,-2.4023208618164062,-2.409966468811035,-2.4099655151367188,2.40231990814209,-4096.0,"[-15.77120304107666, -13.37278938293457]",False,B,best_margin_when_all_wrong,stubborn_wrong_story_context,"[-15.75948429107666, -13.35716438293457]",False,shared_neutral,"[0.008078575134277344, 0.010820388793945312]",far_negative,B,-9.536743124364444e-07
