alias,bucket,examples,task_margin,task_proxy_score,task_score
B_old,,64,0.004487636126214056,0.3373952778056264,0.75
B_new,base_correct_control,16,-0.008297070002299733,0.3354062307626009,0.0
B_new,near_threshold_bad,32,0.008737038981053047,0.3381486963480711,1.0
B_new,stubborn_wrong,16,0.008773536545049865,0.3378774877637625,1.0
R_real,base_correct_control,16,0.013121185475029051,0.33858639001846313,1.0
R_real,near_threshold_bad,32,-0.012317694257944822,0.3341817446053028,0.0
R_real,stubborn_wrong,16,-0.01244043989572674,0.33388865180313587,0.0
R_shuffle,base_correct_control,16,0.013121178781148046,0.3385863918811083,1.0
R_shuffle,near_threshold_bad,32,-0.012317702668951824,0.3341817408800125,0.0
R_shuffle,stubborn_wrong,16,-0.012440426566172391,0.33388865180313587,0.0
R_zero,base_correct_control,16,0.010789323278004304,0.3385651260614395,1.0
R_zero,near_threshold_bad,32,-0.00996114089502953,0.3349465187638998,0.0
R_zero,stubborn_wrong,16,-0.010074973426526412,0.334658844396472,0.0
