alias,examples,repair_active_rate,repair_bucket,task_margin,task_proxy_score,task_score
B_new,6,0.0,anchor_confident_correct,0.010529589916889867,0.33882757027943927,1.0
B_new,42,1.0,anchor_near_threshold,0.00849486410983705,0.33794839680194855,1.0
B_new,16,1.0,anchor_wrong,-0.008297070002299733,0.3354062307626009,0.0
R_real,6,0.0,anchor_confident_correct,-0.009968545598288378,0.3349144011735916,0.0
R_real,42,1.0,anchor_near_threshold,-0.01270004716657457,0.3339654249804361,0.0
R_real,16,1.0,anchor_wrong,0.013121185475029051,0.33858639001846313,1.0
R_shuffle,6,0.0,anchor_confident_correct,-0.00996859340618054,0.3349143713712692,0.0
R_shuffle,42,1.0,anchor_near_threshold,-0.01270004166733651,0.33396542639959426,0.0
R_shuffle,16,1.0,anchor_wrong,0.013121178781148046,0.3385863918811083,1.0
R_zero,6,0.0,anchor_confident_correct,-0.007530772282431523,0.3356937567392985,0.0
R_zero,42,1.0,anchor_near_threshold,-0.010351701185018533,0.3347301802464894,0.0
R_zero,16,1.0,anchor_wrong,0.010789323278004304,0.3385651260614395,1.0
