base_choice_scores,base_correct,base_margin,base_predicted_label,candidate_correct,candidate_margin,candidate_predicted_label,candidate_residual_scores,context_preview,example_id,gold_label,gold_text,oracle_alpha,oracle_alpha_choice_scores,oracle_alpha_correct,oracle_alpha_margin,oracle_alpha_predicted_label,oracle_alpha_selection_reason,oracle_best_of_two_correct,oracle_best_of_two_source,screening_bucket
"[-10.212508201599121, -10.95853328704834]",True,0.7460250854492188,A,True,0.7584352493286133,A,"[0.014643050730228424, 0.0022326763719320297]","Cassidy always loved eating scones at the shop near his home. He decided to try baking scones at home. At first his scones came out too try. However, he kept baking new batches until they were delicious.",01baa291-3fca-46ae-941e-d915af25831f,A,Cassidy became good at baking scones.,0.0,"[-10.212508201599121, -10.95853328704834]",True,0.7460250854492188,A,correct_min_abs,True,A,base_correct_control
"[-25.026710510253906, -14.566575050354004]",False,-10.460135459899902,B,False,-10.453207015991211,B,"[0.0029517742805182934, -0.003976135514676571]",John was afraid to go to school on Monday. He had not completed his science project. John lied to his parents that he was sick. His parents knew that John was lying.,051316ed-513e-49ec-ac89-91e86f46d128,A,"His parents made him go to school, and he got an F in science.",2048.0,"[-18.98147678375244, -22.70970058441162]",True,3.7282238006591797,A,correct_min_abs,False,A,improving_but_unflipped
"[-17.577056884765625, -13.285694122314453]",False,-4.291362762451172,B,False,-4.2966766357421875,B,"[-0.0033172955736517906, 0.00199680682271719]",Gina's dad was near the kitchen window outside. Her mother sprayed him through the window with the sink sprayer. Soon they were throwing cups of water at each other in the yard. Gina and her siblings joined as well.,09be0ffe-6425-4dc5-b5dd-d634ee5d7138,A,The whole family was wet at the end of the day.,-1024.0,"[-14.180146217346191, -15.330424308776855]",True,1.150278091430664,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-23.966167449951172, -13.599418640136719]",False,-10.366748809814453,B,False,-10.36607551574707,B,"[0.0011800499632954597, 0.0005075684748589993]",Paul always does his laundry. He sorts everything by color. He also sorts his socks and underwear. Somehow he always loses socks.,0ad3d77d-bf02-40ec-b070-f07cf29b8376,A,He has to go to the store on Sundays for new socks.,4096.0,"[-19.13268280029297, -11.520418167114258]",False,-7.612264633178711,B,best_margin_when_all_wrong,False,A,stubborn_wrong_story_context
"[-13.20808219909668, -13.725533485412598]",False,-0.517451286315918,A,False,-0.5269708633422852,A,"[0.013897242024540901, 0.004376955796033144]","Jane was selling chocolate bars for high school band. She carried the chocolate in her backpack, but forgot to sell them. She often ate a bar after school, or during lunch. She realized the money for the bars were due, and she had eaten them!",0b897141-236a-4329-96d4-1ff9ca054fec,B,Jane had to pay for the bars.,-64.0,"[-14.097505688667297, -14.005658656358719]",True,0.09184703230857849,B,correct_min_abs,False,A,improving_but_unflipped
"[-26.365833282470703, -20.78310203552246]",False,-5.582731246948242,B,False,-5.589128494262695,B,"[0.011730759404599667, 0.01812811568379402]",Every year we attend a poolside barbecue at my aunt's house. One year when my sister was very young she fell in the pool. As soon as my dad realized she was missing he ran for the pool. He dove in and brought my sister to the surface.,1055bd28-9480-4e7e-8b5c-68575b03911b,A,"After saving her, we were all relieved.",-1024.0,"[-38.37813091278076, -39.34629249572754]",True,0.9681615829467773,A,correct_min_abs,False,A,improving_but_unflipped
"[-47.411842346191406, -17.13802146911621]",True,30.273820877075195,B,True,30.280471801757812,B,"[0.011173372156918049, 0.017824295908212662]",Ross had big dreams to be a professional singer. He joined a band as lead vocalist. He took voice lessons. One day his band tried out for a talent competition.,10bc6a9e-2c3f-4544-b734-bf0a8f3c2ae0,B,Ross and his band scored first place.,0.0,"[-47.411842346191406, -17.13802146911621]",True,30.273820877075195,B,correct_min_abs,True,A,base_correct_control
"[-47.00267791748047, -12.08719253540039]",True,34.91548538208008,B,True,34.92770576477051,B,"[-0.006056912709027529, 0.006162736564874649]","Anna and Aidan were playing cards one night. Then Aidan suggested they play board games. Anna thought it'd be boring. She agreed anyway, and she was glad she did.",1161517a-7732-4f33-b709-cacb876c4750,B,She realized she loved board games.,0.0,"[-47.00267791748047, -12.08719253540039]",True,34.91548538208008,B,correct_min_abs,True,A,base_correct_control
"[-6.990118980407715, -32.998497009277344]",True,26.00837802886963,A,True,26.012349128723145,A,"[0.0048409863375127316, 0.0008702139602974057]",Henderson had dreamed of having a small coffee shop. He started saving up his money to open a shop downtown. Finally it was the day to open his new shop! Henderson had many customers on his first day.,16849c78-6b2d-4958-9dff-f069edcd8fee,A,Henderson's coffee shop was very successful.,0.0,"[-6.990118980407715, -32.998497009277344]",True,26.00837802886963,A,correct_min_abs,True,A,base_correct_control
"[-15.767562866210938, -13.367984771728516]",False,-2.399578094482422,B,False,-2.412856101989746,B,"[0.0009784888243302703, 0.01425616629421711]","Sarah was learning Algebra on her own. But after several weeks, she didn't improve much. She realized that she didn't set any goals for herself. So everyday, she set a certain goal.",16ac16d6-41a4-49f4-a3e1-ec242ce8f921,A,Before long Sarah began getting better at Algebra.,-256.0,"[-16.018056005239487, -17.017563343048096]",True,0.999507337808609,A,correct_min_abs,False,A,stubborn_wrong_story_context
