F_choice_scores,F_correct,F_predicted_label,G_choice_scores,G_correct,G_predicted_label,b_plus_content_choice_scores,b_plus_content_correct,b_plus_content_predicted_label,base_choice_scores,base_correct,base_predicted_label,benchmark_id,best_of_b_plus_content_correct,best_of_b_plus_content_source,best_of_bf_correct,best_of_bf_source,branch_effect_scores,candidate_total_scores,content_alignment_sign,content_effect_scores,content_push_alpha1,context_preview,delta_branch,delta_candidate_total,delta_content,delta_shared,example_id,gold_text,margin_A,margin_B,margin_B_plus_content,margin_F,margin_G,needed_fix,oracle_alpha_content,oracle_alpha_content_choice_scores,oracle_alpha_content_correct,oracle_alpha_content_predicted_label,oracle_alpha_content_selection_reason,screening_bucket,shared_choice_scores,shared_correct,shared_effect_bucket,shared_effect_scores,shared_margin_band,shared_predicted_label,weighted_content_alignment
"[0.0020767594687640667, 0.008002465590834618, -0.02706928551197052]",True,REFUTES,"[0.002079460769891739, 0.00800566840916872, -0.027066953480243683]",True,REFUTES,"[0.0009352411143481731, 0.00963541865348816, -0.027568956837058067]",True,REFUTES,"[0.0, -0.0003680505615193397, -0.028249591588974]",False,SUPPORTS,fever,True,B,True,B,"[0.0011415183544158936, -0.0016329530626535416, 0.0004996713250875473]","[0.0011388170532882214, -0.0016361558809876442, 0.0004973392933607101]",0,"[-2.7013011276721954e-06, -3.2028183341026306e-06, -2.332031726837158e-06]",-5.015172064304352e-07,"Claim: Pink is a Dutch singer. || Evidence: Alecia Beth Moore -LRB- born September 8 , 1979 -RRB- , known professionally as Pink -LRB- frequently stylized as -RRB- , is an American singer , songwriter , dancer , and actress. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.002774471417069435,-0.0027749729342758656,-5.015172064304352e-07,0.009068729617865756,106308,Refutes,-0.0003680505615193397,0.008700679056346416,0.008700177539139986,0.005925706122070551,0.005926207639276981,-0.008700679056346416,0.0,"[0.0009379424154758453, 0.009638621471822262, -0.02756662480533123]",True,REFUTES,correct_min_abs,near_threshold_bad,"[0.0009379424154758453, 0.009638621471822262, -0.02756662480533123]",True,shared_helped,"[0.0009379424154758453, 0.010006672033341601, 0.0006829667836427689]",non_negative,REFUTES,0.0
"[-0.00029752019327133894, 0.008482643403112888, -0.04150094836950302]",True,REFUTES,"[-0.00029595557134598494, 0.008485830388963223, -0.041499391198158264]",True,REFUTES,"[-0.0007418363820761442, 0.009122643619775772, -0.04170294106006622]",True,REFUTES,"[0.0, -0.0003669780562631786, -0.04155309498310089]",False,SUPPORTS,fever,True,B,True,B,"[0.0004443161888048053, -0.0006400002166628838, 0.0002019926905632019]","[0.0004427515668794513, -0.0006431872025132179, 0.00020043551921844482]",0,"[-1.564621925354004e-06, -3.1869858503341675e-06, -1.55717134475708e-06]",-1.6223639249801636e-06,"Claim: John Goodman has not had lead roles. || Evidence: His other film performances include lead roles in The Babe -LRB- 1992 -RRB- , The Flintstones -LRB- 1994 -RRB- and 10 Cloverfield Lane -LRB- 2016 -RRB- and supporting roles in Coyote Ugly -LRB- 2000 -RRB- , The Artist -LRB- 2011 -RRB- , Extremely Loud and Incredibly Close -LRB- 2011 -RRB- , Argo -LRB- 2012 -RRB- , Flight -LRB- 2012 -RRB- , The Hangover Part III -LRB- 2013 -RRB- , and Patriots Day -LRB- 2016 -RRB-. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.001084316405467689,-0.0010859387693926692,-1.6223639249801636e-06,0.010233080422040075,112137,Refutes,-0.0003669780562631786,0.009866102365776896,0.009864480001851916,0.008780163596384227,0.008781785960309207,-0.009866102365776896,0.0,"[-0.0007402717601507902, 0.009125830605626106, -0.041701383888721466]",True,REFUTES,correct_min_abs,near_threshold_bad,"[-0.0007402717601507902, 0.009125830605626106, -0.041701383888721466]",True,shared_helped,"[-0.0007402717601507902, 0.009492808661889285, -0.00014828890562057495]",non_negative,REFUTES,0.0
"[-0.002965638181194663, 0.007749306038022041, -0.022955719381570816]",False,REFUTES,"[-0.002969196764752269, 0.007745699025690556, -0.022958610206842422]",False,REFUTES,"[-0.0029620795976370573, 0.007752913050353527, -0.02295282855629921]",False,REFUTES,"[0.0, -0.0005639393348246813, -0.0196672510355711]",True,SUPPORTS,fever,False,B,False,B,"[-3.5585835576057434e-06, -3.6070123314857483e-06, -2.8908252716064453e-06]","[0.0, 0.0, 0.0]",-1,"[3.5585835576057434e-06, 3.6070123314857483e-06, 2.8908252716064453e-06]",-4.842877388000488e-08,"Claim: There is a software that is branded with a number for the versions it is released as called Adobe Photoshop. || Evidence: However , in October 2002 , following the introduction of Creative Suite branding , each new version of Photoshop was designated with `` CS '' plus a number ; e.g. , the eighth major version of Photoshop was Photoshop CS and the ninth major version was Photoshop CS2. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",4.842877388000488e-08,0.0,-4.842877388000488e-08,-0.011278883554041386,114158,Supports,0.0005639393348246813,-0.010714944219216704,-0.010714992647990584,-0.010714944219216704,-0.010714895790442824,0.010714944219216704,-4096.0,"[-0.017541596433147788, -0.007025016471743584, -0.034796539694070816]",False,REFUTES,best_margin_when_all_wrong,base_correct_control,"[-0.002965638181194663, 0.007749306038022041, -0.022955719381570816]",False,shared_hurt,"[-0.002965638181194663, 0.008313245372846723, -0.0032884683459997177]",near_threshold,REFUTES,-4.8428728682635964e-08
"[0.004038010723888874, 0.0063065411522984505, -0.026297396048903465]",True,REFUTES,"[0.004037305247038603, 0.006305826362222433, -0.02629798650741577]",True,REFUTES,"[0.001743085216730833, 0.009592711459845304, -0.027286630123853683]",True,REFUTES,"[0.0, -0.0002699726028367877, -0.028795519843697548]",False,SUPPORTS,fever,True,B,True,B,"[0.002294925507158041, -0.003286170307546854, 0.0009892340749502182]","[0.0022956309840083122, -0.0032854555174708366, 0.0009898245334625244]",0,"[7.05476850271225e-07, 7.147900760173798e-07, 5.904585123062134e-07]",9.313225746154785e-09,"Claim: The Big Country is a river. || Evidence: The Big Country is a 1958 American epic Western film directed by William Wyler and starring Gregory Peck , Jean Simmons , Carroll Baker , Charlton Heston and Burl Ives. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.005581095814704895,-0.005581086501479149,9.313225746154785e-09,0.008119589532725513,115920,Refutes,-0.0002699726028367877,0.007849616929888725,0.007849626243114471,0.0022685304284095764,0.0022685211151838303,-0.007849616929888725,0.0,"[0.0017423797398805618, 0.009591996669769287, -0.02728722058236599]",True,REFUTES,correct_min_abs,near_threshold_bad,"[0.0017423797398805618, 0.009591996669769287, -0.02728722058236599]",True,shared_helped,"[0.0017423797398805618, 0.009861969272606075, 0.0015082992613315582]",non_negative,REFUTES,0.0
"[0.007816391997039318, 0.00619882857427001, -0.0015103504993021488]",False,SUPPORTS,"[0.007818825542926788, 0.0062019238248467445, -0.001508192392066121]",False,SUPPORTS,"[0.004469729028642178, 0.01125634228810668, -0.0032288876827806234]",True,REFUTES,"[0.0, -0.0003036991402041167, -0.006350057665258646]",False,SUPPORTS,fever,True,B,True,B,"[0.0033466629683971405, -0.00505751371383667, 0.0017185371834784746]","[0.0033442294225096703, -0.0050606089644134045, 0.001716379076242447]",0,"[-2.4335458874702454e-06, -3.095250576734543e-06, -2.1581072360277176e-06]",-6.617046892642975e-07,"Claim: Phoenix, Arizona is in southwestern Mexico. || Evidence: Phoenix -LRB- -LSB- ˈfiːnᵻks -RSB- -RRB- is the capital and most populous city of the U.S. state of Arizona. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.00840417668223381,-0.008404838386923075,-6.617046892642975e-07,0.007090974104357883,118434,Refutes,-0.0003036991402041167,0.006787274964153767,0.006786613259464502,-0.001617563422769308,-0.0016169017180800438,-0.006787274964153767,0.0,"[0.004472162574529648, 0.011259437538683414, -0.0032267295755445957]",True,REFUTES,correct_min_abs,stubborn_wrong,"[0.004472162574529648, 0.011259437538683414, -0.0032267295755445957]",True,shared_helped,"[0.004472162574529648, 0.011563136678887531, 0.0031233280897140503]",non_negative,REFUTES,0.0
"[0.003976027946919203, 0.006442441139370203, -0.018425973132252693]",True,REFUTES,"[0.003974251914769411, 0.006440482102334499, -0.018427470698952675]",True,REFUTES,"[0.0018214002484455705, 0.009665097575634718, -0.01948876865208149]",True,REFUTES,"[0.0, -0.00036745471879839897, -0.021163025870919228]",False,SUPPORTS,fever,True,B,True,B,"[0.0021546276984736323, -0.003222656436264515, 0.0010627955198287964]","[0.002156403730623424, -0.0032206973992288113, 0.001064293086528778]",0,"[1.7760321497917175e-06, 1.959037035703659e-06, 1.4975666999816895e-06]",1.8300488591194153e-07,"Claim: Mount Hood is the lowest point in its state. || Evidence: In addition to being Oregon 's highest mountain , it is one of the loftiest mountains in the nation based on its prominence. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.005377284134738147,-0.005377101129852235,1.8300488591194153e-07,0.008210969041101635,119227,Refutes,-0.00036745471879839897,0.007843514322303236,0.007843697327189147,0.002466413192451,0.0024662301875650883,-0.007843514322303236,0.0,"[0.0018196242162957788, 0.009663138538599014, -0.01949026621878147]",True,REFUTES,correct_min_abs,near_threshold_bad,"[0.0018196242162957788, 0.009663138538599014, -0.01949026621878147]",True,shared_helped,"[0.0018196242162957788, 0.010030593257397413, 0.0016727596521377563]",non_negative,REFUTES,0.0
"[0.007465238217264414, 0.007298043929040432, -0.018425224348902702]",True,SUPPORTS,"[0.007466903887689114, 0.007299873512238264, -0.018423791974782944]",True,SUPPORTS,"[0.004462512210011482, 0.011779178399592638, -0.019908560439944267]",False,REFUTES,"[0.0, -0.0002108589978888631, -0.023524677380919456]",True,SUPPORTS,fever,False,B,True,F,"[0.0030027260072529316, -0.004481134470552206, 0.001483336091041565]","[0.003001060336828232, -0.004482964053750038, 0.0014819037169218063]",1,"[-1.6656704246997833e-06, -1.8295831978321075e-06, -1.432374119758606e-06]",1.6391277313232422e-07,Claim: Cyprus is a place where tourists go. || Evidence: Cyprus is a major tourist destination in the Mediterranean. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.,0.007483860477805138,0.00748402439057827,1.6391277313232422e-07,-0.007527689100243151,121548,Supports,0.0002108589978888631,-0.007316830102354288,-0.007316666189581156,0.00016719428822398186,0.00016703037545084953,0.007316830102354288,4096.0,"[-0.0023584081791341305, 0.004287035204470158, -0.02577413246035576]",False,REFUTES,best_margin_when_all_wrong,base_correct_control,"[0.004464177880436182, 0.01178100798279047, -0.01990712806582451]",False,shared_hurt,"[0.004464177880436182, 0.011991866980679333, 0.003617549315094948]",near_threshold,REFUTES,1.6391254911106526e-07
"[0.006767050363123417, 0.00881816167384386, -0.010412894189357758]",False,REFUTES,"[0.006766311824321747, 0.00881676934659481, -0.010413603857159615]",False,REFUTES,"[0.004297851584851742, 0.012366719543933868, -0.011489411816000938]",False,REFUTES,"[0.0, -0.0006073060794733465, -0.016415908932685852]",True,SUPPORTS,fever,False,B,False,B,"[0.002469198778271675, -0.0035485578700900078, 0.0010765176266431808]","[0.002469937317073345, -0.0035471655428409576, 0.0010772272944450378]",-1,"[7.385388016700745e-07, 1.3923272490501404e-06, 7.096678018569946e-07]",-6.537884473800659e-07,"Claim: The Gettysburg Address is a speech. || Evidence: Despite the speech 's prominent place in the history and popular culture of the United States , the exact wording and location of the speech are disputed. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",0.006017756648361683,0.006017102859914303,-6.537884473800659e-07,-0.008675520250108093,124578,Supports,0.0006073060794733465,-0.008068214170634747,-0.008068867959082127,-0.0020511113107204437,-0.0020504575222730637,0.008068214170634747,-4096.0,"[0.0012720581144094467, 0.006662354804575443, -0.014396920800209045]",False,REFUTES,best_margin_when_all_wrong,base_correct_control,"[0.004297113046050072, 0.012365327216684818, -0.011490121483802795]",False,shared_hurt,"[0.004297113046050072, 0.012972633296158165, 0.004925787448883057]",near_threshold,REFUTES,-6.537876370549764e-07
"[0.0030402308329939842, 0.012381378561258316, -0.03081650286912918]",True,REFUTES,"[0.003041150514036417, 0.0123833529651165, -0.03081563673913479]",True,REFUTES,"[0.002635151380673051, 0.012978570535779, -0.03101237490773201]",True,REFUTES,"[0.0, -0.00029583368450403214, -0.034608397632837296]",False,SUPPORTS,fever,True,B,True,B,"[0.00040507945232093334, -0.0005971919745206833, 0.00019587203860282898]","[0.00040415977127850056, -0.0005991663783788681, 0.00019500590860843658]",0,"[-9.19681042432785e-07, -1.9744038581848145e-06, -8.66129994392395e-07]",-1.0547228157520294e-06,"Claim: MSG is only used in the film industry. || Evidence: Monosodium glutamate is found naturally in tomatoes , cheese and other foods. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.0010022714268416166,-0.0010033261496573687,-1.0547228157520294e-06,0.010640307562425733,128004,Refutes,-0.00029583368450403214,0.0103444738779217,0.010343419155105948,0.009341147728264332,0.009342202451080084,-0.0103444738779217,0.0,"[0.0026360710617154837, 0.012980544939637184, -0.031011508777737617]",True,REFUTES,correct_min_abs,stubborn_wrong,"[0.0026360710617154837, 0.012980544939637184, -0.031011508777737617]",True,shared_helped,"[0.0026360710617154837, 0.013276378624141216, 0.003596888855099678]",non_negative,REFUTES,0.0
"[0.005220981314778328, 0.009335633367300034, -0.0055133020505309105]",True,REFUTES,"[0.005219646729528904, 0.00933309830725193, -0.005514604039490223]",True,REFUTES,"[0.0033150576055049896, 0.01206200011074543, -0.006328572519123554]",True,REFUTES,"[0.0, -0.00029952809563837945, -0.010180268436670303]",False,SUPPORTS,fever,True,B,True,B,"[0.0019059237092733383, -0.0027263667434453964, 0.0008152704685926437]","[0.0019072582945227623, -0.002723831683397293, 0.0008165724575519562]",0,"[1.3345852494239807e-06, 2.5350600481033325e-06, 1.301988959312439e-06]",1.2004747986793518e-06,"Claim: Burbank, California has always been completely void of industry. || Evidence: It was the location of Lockheed 's Skunk Works , which produced some of the most secret and technologically advanced airplanes , including the U-2 spy planes that uncovered the Soviet Union missile components in Cuba in October 1962. || Labels: SUPPORTS: Supports | REFUTES: Refutes | NOT_ENOUGH_INFO: Not enough info || Decide the correct label.",-0.004632290452718735,-0.004631089977920055,1.2004747986793518e-06,0.00904527012608014,130048,Refutes,-0.00029952809563837945,0.008745742030441761,0.00874694250524044,0.004114652052521706,0.004113451577723026,-0.008745742030441761,0.0,"[0.0033137230202555656, 0.012059465050697327, -0.006329874508082867]",True,REFUTES,correct_min_abs,stubborn_wrong,"[0.0033137230202555656, 0.012059465050697327, -0.006329874508082867]",True,shared_helped,"[0.0033137230202555656, 0.012358993146335706, 0.0038503939285874367]",non_negative,REFUTES,0.0
